,_id,username,role,supporter,verified,country,gamesplayed,gameswon,rating,glicko,rd,rank,apm,pps,vs,decaying
11234,601120ba13cfe0e93530c7af,bakarenejayto,user,,False,PH,53,25,4798.071768661175,1123,64,b-,13.92,1.02,28.59,False
11235,5fced5570d1b7a21c53b1dba,sbyro,user,,False,FR,16,7,4798.033614655019,1119,97,b-,9.89,0.8,20.44,False
11236,5ef0d34d9a1ba76c20354a8e,coleeau,user,,False,US,71,39,4794.674266473043,1123,68,b-,13.19,0.78,28.83,False
11237,5fdb7a5be3ea3a3755f37518,pwdding,user,,False,CN,185,102,4788.522762253408,1123,62,b-,12.53,0.76,27.21,False
11238,6001a1bb1c3d9af97a9a8e86,the_l_pice,user,,False,US,82,36,4787.677446162263,1123,63,b-,9.51,0.68,19.73,True
11239,6017d53558ccc713edd7421f,cicerolb03,user,,False,PH,16,4,4785.561761317725,1118,94,b-,12.11,0.97,25.25,False
11240,5ffeb8368dbc3ef99d90ab82,psobekio,user,,False,CA,64,28,4785.291588047651,1122,67,b-,8.96,0.82,20.84,False
11241,5fa383d93bc07b4690a42e2a,timmtamst,user,,False,SG,80,42,4781.901277510507,1121,71,b-,12.12,0.78,24.24,False
11242,5f3cd0e67dad192e851643c0,thlredtay,user,,False,AU,45,15,4781.895479659163,1118,93,b-,12.88,0.99,25.99,False
11243,5ee1a976295a2e59d55c1960,jat,user,,False,CN,130,70,4778.277570605114,1119,98,b-,14.79,0.77,31.86,True
11244,5fefc4f260fd3a0b810702eb,saint1796,user,,False,US,66,35,4777.374649849626,1122,67,b-,13.93,1.17,28.43,True
11245,5eb7354a47a7561009d51852,ffpalu,user,,False,IT,296,146,4774.6786393177,1121,92,b-,13.75,0.78,27.26,True
11246,5f4225051fee2b2e8c28f694,gwonny,user,,False,US,114,55,4774.5267350305585,1122,63,b-,12.48,1.04,22.62,False
11247,5f0cc838829c891f0a9dbd06,giornog1ovanna,user,,False,US,55,28,4774.306999574019,1121,74,b-,11.73,0.88,25.7,False
11248,5ffd4d549a5d28f987e6d500,vafe,user,,False,MX,120,61,4774.22275307659,1122,62,b-,12.27,0.91,26.2,False
11249,5e865b68cafb947153092da6,bilinha,user,,False,BR,313,164,4773.263715232942,1122,66,b-,10.53,0.64,23.01,True
11250,5fbb2fa20d1b7a21c537e73d,clopelnuevoc,user,,False,AR,213,109,4772.681009693083,1122,62,b-,13.28,0.96,27.04,False
11251,5ffd0222a4fd09f9803373a6,noobious,user,,False,US,17,7,4771.251324092142,1118,92,b-,11.29,0.77,23.07,False
11252,5fb5536eac8ce421be748a55,boggylizard,user,,False,US,481,226,4768.370935084213,1122,62,b-,9.32,0.64,22.83,False
11253,5f3ec5359d8f5e2e957e9069,ooferino,user,,False,US,116,55,4767.400453224587,1121,64,b-,14.19,0.75,29.89,False
11254,5faf2fc43a6a8b21b897abf3,134043,user,,False,DO,43,21,4767.362939390259,1121,68,b-,10.06,0.58,22.88,False
11255,5fac519cac8ce421be731b02,liloshka,user,,False,US,306,153,4766.623810017295,1121,62,b-,10.11,0.78,24.19,False
11256,5f6c9d761a734d2b41c2e25e,vawa5h0,user,,False,JP,179,81,4766.339805779709,1119,78,b-,14.84,0.65,32.08,False
11257,5fe83be3036caf0b8fc07619,frutos,user,,False,BR,71,33,4764.62092558502,1120,74,b-,15.0,0.94,30.87,True
11258,5ee0132a82d1d4785d134146,s4br1n4,user,,False,AU,55,25,4762.900309675543,1120,69,b-,12.3,0.99,28.98,False
11259,5f96d0a0630a88df78741405,jerzyjanbirnam,user,,False,PL,159,82,4761.712575747895,1121,65,b-,16.23,1.01,31.01,False
11260,5fb91a5413e8c021da384640,lenm,user,,False,TH,59,30,4759.511099952595,1121,92,b-,11.55,0.72,26.94,True
11261,601d5bd88a729862a907e54c,zugs,user,,False,US,24,14,4757.461791689695,1118,83,b-,9.45,0.67,20.51,False
11262,5fa18bb91c149f46acc211eb,weebman,user,,False,US,34,17,4757.275239447694,1120,78,b-,12.46,0.75,29.07,True
11263,5ff03285036caf0b8fc1d9ed,mmoomy,user,,False,VN,55,27,4754.329207900243,1120,68,b-,13.47,0.93,28.66,False
11264,5f6d7f03ead0072b56d006ec,libearium,user,,False,BY,114,60,4753.585350558715,1120,97,b-,13.58,1.0,28.4,True
11265,5fc726c80d1b7a21c539dc49,rokshana,user,,False,US,205,98,4752.783988417261,1120,62,b-,13.4,1.06,26.34,False
11266,5e9f39dbe6f1903fa66072f2,zouroung,user,,False,DE,70,26,4752.385526576654,1118,85,b-,10.77,0.89,21.73,False
11267,5fc69690ac8ce421be7754cc,besitos,user,,False,US,45,20,4751.773260818813,1120,69,b-,11.27,0.76,27.41,False
11268,5f75ac5a29d2ff3bf90a8d89,derangedloli,user,,False,US,55,25,4751.5540738024565,1119,78,b-,14.05,1.12,31.04,True
11269,5ff694ade5a75e3212003e1c,yenabean,user,,False,KR,40,22,4751.422618361493,1120,70,b-,13.09,0.88,30.49,False
11270,5fac9f2f47d24e21d3762537,yellowfriend,user,,False,CA,238,114,4743.417900825628,1120,84,b-,13.99,0.85,27.14,True
11271,5fb5cb2b0d1b7a21c5370b13,cookiesan,user,,False,NO,19,8,4742.747946509783,1116,99,b-,10.56,0.89,21.8,True
11272,5ff6f33fef9725322e32ded4,lilboi,user,,False,HK,31,12,4742.7357511828095,1118,80,b-,12.78,0.9,25.3,True
11273,5f7bd2e47ee1523bf2099b31,mulldrifter,user,,False,US,89,46,4739.017180079447,1119,96,b-,12.46,0.53,23.48,True
11274,5faa0247d339ebd30cbc75f1,poni,user,,False,AR,468,226,4732.667600051883,1119,62,b-,11.74,0.62,27.51,False
